what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1332512552004
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1332512552004
os,sysinfo,,,"macosx",1332512552007
arch,sysinfo,,,"x86",1332512552007
ws,sysinfo,,,"cocoa",1332512552007
locale,sysinfo,,,"en_US",1332512552007
processors,sysinfo,,,"2",1332512552007
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332512552007
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50b",1332512552007
java.specification.name,sysinfo,,,"Java Platform API Specification",1332512552007
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332512552007
java.specification.version,sysinfo,,,"1.6",1332512552007
java.vendor,sysinfo,,,"Apple Inc.",1332512552007
java.version,sysinfo,,,"1.6.0_29",1332512552007
java.vm.info,sysinfo,,,"mixed mode",1332512552007
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1332512552007
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332512552007
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332512552007
java.vm.specification.version,sysinfo,,,"1.0",1332512552007
java.vm.vendor,sysinfo,,,"Apple Inc.",1332512552007
java.vm.version,sysinfo,,,"20.4-b02-402",1332512552007
